tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
0.000233000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050744000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050879000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050693000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050944000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051081000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.035400000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050937000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050803000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050704000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050889000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050487000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050543000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051012000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050893000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050756000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050586000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050975000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050794000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050590000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050692000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050619000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051090000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.052571000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051421000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050888000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051011000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051066000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050888000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050632000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051800000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050378000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050967000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.050958000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
0.051015000,35,0,0,0,1,0,3.5263605246161616,2.7219280948873625,21,Attacker_Flood_1,0
