tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
2.332880000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_2,0.0
9.999577000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.671901654332813,21.0,TempSensor_R1_1,0.0
1.994548000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
4.999682000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.683883995636995,21.0,TempSensor_R1_3,0.0
10.894610000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
7.049990000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.324309452719443,21.0,Meter_P3_1,0.0
3.499768000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.277797824812466,21.0,Meter_P3_2,0.0
29.632102000,93.0,0.0,0.0,0.0,1.0,1.0,4.5217885770490405,4.791699966797261,20.0,DoorSensor_E2_1,0.0
9.998968000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.652137963890964,21.0,TempSensor_R1_2,0.0
4.998592000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.7156300273830265,21.0,TempSensor_R1_3,0.0
5.022193000,74.0,0.0,0.0,0.0,1.0,1.0,4.290459441148391,4.345175521464347,20.0,DoorSensor_E2_2,0.0
4.228279000,66.0,0.0,0.0,0.0,1.0,0.0,4.174387269895637,4.201842785465543,21.0,Meter_P3_2,0.0
9.998635000,90.0,0.0,0.0,0.0,1.0,1.0,4.48863636973214,4.671901654332814,21.0,TempSensor_R1_1,0.0
7.511542000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.20233009230464,21.0,Meter_P3_1,0.0
4.999686000,89.0,0.0,0.0,0.0,1.0,1.0,4.477336814478207,4.704455286913261,21.0,TempSensor_R1_3,0.0
4.212128000,68.0,0.0,0.0,0.0,1.0,0.0,4.204692619390966,4.34186497602557,21.0,Meter_P3_2,0.0
